college-stub	department-stub	college-name-short	department-name	department-url
	1a7abb935e5b190d15ff55408b969297		Accountancy	/content/accountancy
	f3b36167ab22775660ecc4501b6d7ab1		Anthropology	/content/anthropology
	68cdbfa12a56c99931d5539aaac59e44		Art	/content/art
	2c68c2fc8f74c11313c6229a4dd8d52e		Biology	/content/biology
	ffeeeeb8b5861c60319ade6da36e5136		Business Administration	/content/business-administration
	2319d3b825221a08b0857e8b1c3d108e		Chemical Engineering	/content/chemical-engineering
	271d5073b537937e09ae422bf30dddf4		Chemistry and Biochemistry	/content/chemistry-and-biochemistry
	e01a1c92f6b1d04d55b9b8469b2ec158		Civil and Environmental Engineering	/content/civil-and-environmental-engineering
	b0be54f3c57f815da1fb6f745f84203e		Communication Disorders	/content/communication-disorders
	f54a914ca5442d0817586b39ed9891ce		Communications	/content/communications
	840ab5046f2876f3810ec6bf46433529		Comparative Arts and Letters	/content/comparative-arts-and-letters
	2c640535afad7c6b5d0429aed278eb03		Computer Science	/content/computer-science
	30f91fe9d8d31a5e4fc451d290e6180e		Counseling Psychology and Special Education	/content/counseling-psychology-and-special-education
	4187fb850bbab7970a39ab2a7a7edba3		Educational Inquiry, Measurement and Evaluation (Program)	/content/educational-inquiry-measurement-and-evaluation-program
	5eb625c647de76915f2b28b5643ff96f		Educational Leadership and Foundations	/content/educational-leadership-and-foundations
	c68ddbd4c44322082a56b8188822e017		Electrical and Computer Engineering	/content/electrical-and-computer-engineering
	5680fcc308ec5113dc70387714c056ae		English	/content/english
	2a4c4ce71ea3372d9c5ddf616fc1fbb0		Exercise Sciences	/content/exercise-sciences
	aa4f2014c5a2b86bffa5b643cbaef0c0		Family Life	/content/family-life-0
	788f519b1087a7f3378a0a252ed968c2		French and Italian	/content/french-and-italian
	7079d9c8fdecee2e9308aae3793d9716		Geological Sciences	/content/geological-sciences
	08e55260316f52656946a77d6203d59a		Health Science	/content/health-science
	564b8b635c1056f4994ac45b4c9cd849		Information Systems	/content/information-systems
	f9270c1710d67fcacc2c8b217b3a3177		Instructional Psychology and Technology	/content/instructional-psychology-and-technology
	69174b2ce4c788e2e43ca68fb1a15438		Language Studies, Center for	/content/language-studies-center
	6842e936a174dc3621ea96b62357cdac		Law School, J. Reuben Clark	/content/law-school-j-reuben-clark
	f99b39a75616ba2e3c950f496f18b8c0		Linguistics and English Language	/content/linguistics-and-english-language
	a8bd929fc890c069595b0d25ec204d45		Mathematics	/content/mathematics
	31fb6e8992763bbe8335da50ed4b7c00		Mathematics Education	/content/mathematics-education
	f9b4bc714c4ed45230c0859b799f3bdb		Mechanical Engineering	/content/mechanical-engineering
	60db076218bdc4537e805277340d6e66		Microbiology and Molecular Biology	/content/microbiology-and-molecular-biology
	651b51869cada99bd72c1af41c98ef04		Music	/content/music-0
	b60f7b858925674d865738451bac4156		Neuroscience (Program)	/content/neuroscience-program
	1fd466a14270f4f4193cd96a6fe3a8fd		Nursing	/content/nursing
	33057d2cec7e3435b19d2306410c202e		Nutrition, Dietetics, and Food Science	/content/nutrition-dietetics-and-food-science
	db5bc19a1e05eb044bd268de9dc0e71b		Physics and Astronomy	/content/physics-and-astronomy
	70135d270cfa15604ec67151ef1a1018		Physiology and Developmental Biology	/content/physiology-and-developmental-biology
	39dd71011d47663800c4b5e7514268da		Plant and Wildlife Sciences	/content/plant-and-wildlife-sciences
	01ce1a5cdfcdb1ab9b0ef8ce9c0fe78f		Psychology	/content/psychology-0
	23cee87d3d6b0063ce56d6c2f38ec7eb		Public Management, Romney Institute of	/content/public-management-romney-institute
	73543a8c83acbfa4bfd40e0603e935b4		Recreation Management	/content/recreation-management
	e72392d915bc4fcb8b1ed080d9b80677		Religious Education	/content/religious-education
	72bf1f19118c8afdbcaeab55325da78a		Religious Studies - Military Chaplaincy (Program)	/content/religious-studies-military-chaplaincy-program
	bfdfacc53c584d86ad81507819946982		Social Work	/content/social-work
	ec36607eee3d64f3dbe93056f2d7e044		Sociology	/content/sociology
	258ad10b6f21d8416cb7a11a172320e0		Spanish and Portuguese	/content/spanish-and-portuguese
	0398c77a6c2d4ac4887fd0e0f20c7c59		Statistics	/content/statistics
	700f5f6ee348b515de8aab30dab68f1e		Teacher Education	/content/teacher-education-0
	974ca87ec30972845d3054dda89f28e2		Technology	/content/technology
	273b70b8c13c7f75587f70b7f2dcd4a4		Theatre and Media Arts	/content/theatre-and-media-arts
